group,image,label,nuc_area,nuc_mean,nuc_integrated,cell_area,cell_mean,cell_integrated,cyto_area,cyto_mean,cyto_integrated,saturated_px,flag_saturated,flag_area_outlier,flag_no_cyto,keep
unknown,PB154766,1,109744.0,1.1569769963560177,126971.2834880948,193996.0,1.0036783512836804,194709.5854356289,84252.0,0.8039963674160149,67738.30194753408,38.0,True,False,False,False
unknown,PB154766,2,124160.0,1.3955886426953041,173276.28587704897,157328.0,1.2825758329333223,201785.09064373374,33168.0,0.8595273988990826,28508.80476668477,21215.0,True,False,False,False
unknown,PB154766,4,60976.0,1.0327338239105237,62971.97764676809,62736.0,1.032025892815741,64745.17641168833,1760.0,1.0074992982501334,1773.1987649202347,0.0,False,False,True,False
unknown,PB154766,6,73972.0,0.7687399068221112,56865.22838744521,310452.0,0.6345661022318627,197002.31557008624,235232.0,0.5921318558569368,139288.36071693897,0.0,False,True,False,False
unknown,PB154766,7,58528.0,0.8133088502653061,47601.34038832784,102116.0,0.7006965484036005,71552.32873678207,43588.0,0.5494858297800825,23950.988348454237,1.0,True,False,False,False
unknown,PB154766,8,71328.0,0.7675820923409938,54750.09548249841,166304.0,0.6371770141610784,105965.08616304398,94976.0,0.5392413944632914,51214.99068054557,17.0,True,False,False,False
unknown,PB154766,9,64736.0,0.8196363771169479,53059.98050904274,227696.0,0.6585658777266422,149952.81609484553,162960.0,0.5945804834671257,96892.8355858028,0.0,False,False,False,True
unknown,PB154766,10,54752.0,0.9496267891724658,51993.965960770845,106240.0,0.7563314536286249,80352.6536335051,51904.0,0.5528035211651304,28692.71396255493,0.0,False,False,False,True
unknown,PB154766,11,50384.0,0.9428399253651978,47504.046799600124,55248.0,0.9334029929230705,51568.6485530138,5200.0,0.8305211247389133,4318.709848642349,0.0,False,False,False,True
unknown,PB154766,12,81008.0,0.809535658821749,65578.86464983225,81584.0,0.8090021764977547,66001.63356739283,576.0,0.7339738152093358,422.7689175605774,0.0,False,False,True,False
unknown,PB154766,13,49632.0,0.8216048189901839,40777.890376120806,157152.0,0.6415697527350336,100823.969781816,106960.0,0.5572169300553262,59599.9228387177,0.0,False,False,False,True
unknown,PB154766,14,62464.0,0.7855995493930512,49071.690253287554,155184.0,0.6307073628291963,97875.69139328599,92720.0,0.5263589424072308,48804.001139998436,0.0,False,False,False,True
unknown,PB154766,16,53104.0,0.8654533120460919,45959.03268289566,129200.0,0.7766684851945369,100345.56828713417,76096.0,0.7147095196099468,54386.53560423851,0.0,False,False,False,True
unknown,PB154766,17,46304.0,0.7643036310925936,35390.31533411145,159464.0,0.5976098893776663,95297.26339972019,112600.0,0.5285469373263961,59514.385142952204,0.0,False,False,False,True
unknown,PB154766,18,59200.0,0.8925406127845918,52838.40427684784,140684.0,0.7030346519336923,98905.72697263956,81484.0,0.5653542130454042,46067.32269579172,0.0,False,False,False,True
unknown,PB154766,19,59776.0,0.783858909734826,46855.950188308954,71344.0,0.7817662007982226,55774.32782974839,12128.0,0.7701160560575827,9339.967527866364,0.0,False,False,False,True
unknown,PB154766,20,50608.0,0.7642211841912236,38675.705689549446,173280.0,0.5944563337678257,103007.39351528883,121968.0,0.5231920921072808,63812.69309014082,0.0,False,False,False,True
unknown,PB154766,21,48208.0,0.8504878095874469,41000.31632459164,67920.0,0.7905478921257073,53694.01283317804,20288.0,0.6430312459083856,13045.817916989326,0.0,False,False,False,True
unknown,PB154766,22,39424.0,1.0151720870892493,40022.144361406565,49696.0,0.9647710672582704,47945.26295846701,10560.0,0.7749689919902294,8183.672555416822,0.0,False,False,False,True
unknown,PB154766,23,39588.0,0.6998791830749527,27706.817099571228,153764.0,0.5791139839912537,89046.88263443112,114176.0,0.5372413251021221,61340.065534859896,0.0,False,False,False,True
unknown,PB154766,24,53920.0,0.9729122751654963,52459.42987692356,75224.0,0.9239272090218035,69501.50037145615,21304.0,0.7999469815308198,17042.070494532585,0.0,False,False,False,True
unknown,PB154766,25,43920.0,1.2293340814664606,53992.352858006954,100948.0,1.016148845716858,102578.19367742538,57028.0,0.8519646633130818,48585.84081941843,2510.0,True,False,False,False
unknown,PB154766,26,56240.0,0.8536197420877337,48007.57429501414,126592.0,0.6901931721376702,87372.93404725194,70240.0,0.559574267016151,39304.49651521444,0.0,False,False,False,True
unknown,PB154766,27,47664.0,0.8861065564296337,42235.38290566206,158016.0,0.6898093694189557,109000.9173181057,109760.0,0.604601111411288,66361.01798850298,0.0,False,False,False,True
unknown,PB154766,28,44928.0,0.9790528340708263,43986.88572913408,116768.0,0.8199666215785237,95745.86246848106,71552.0,0.7201073096010481,51525.11821657419,0.0,False,False,False,True
unknown,PB154766,29,52548.0,0.6465246163860452,33973.575541853905,86356.0,0.6135337399646238,52982.31964838505,33872.0,0.5621065694722622,19039.673721164465,0.0,False,False,False,True
unknown,PB154766,30,42544.0,0.7838624421536542,33348.64373898506,70816.0,0.7365637090472926,52160.495619893074,28640.0,0.6636519147072757,19006.990837216377,0.0,False,False,False,True
unknown,PB154766,31,39808.0,0.825624506278233,32866.4603459239,243040.0,0.6559693759210393,159426.7971238494,203232.0,0.6227382340277392,126560.33677792549,1.0,True,True,False,False
unknown,PB154766,32,36624.0,0.6568396137290878,24056.09401321411,111544.0,0.536533866151136,59847.133565962315,74904.0,0.4776541412809294,35778.20579850674,0.0,False,False,False,True
unknown,PB154766,33,51208.0,0.8519744882056013,43627.90959203243,182864.0,0.6861930539112309,125480.00661042333,131656.0,0.6217118628728724,81852.0970183909,0.0,False,False,False,True
unknown,PB154766,34,23024.0,1.439416297820809,33141.120841026306,45488.0,1.19237584488108,54238.79243195057,22464.0,0.939176976091714,21097.671590924263,3841.0,True,False,False,False
unknown,PB154766,35,48128.0,0.9368648459711311,45089.431306898594,53992.0,0.9224311718842793,49803.903832376,5768.0,0.8007076888677152,4618.481949388981,0.0,False,False,False,True
unknown,PB154766,36,34248.0,1.1697117797621386,40060.289033293724,103120.0,0.8748205633653375,90211.49649423361,68968.0,0.728592570824878,50249.57242465019,0.0,False,False,False,True
unknown,PB154766,37,56128.0,0.7349162586617412,41249.37976616621,101808.0,0.6546423100359514,66647.82430014014,45680.0,0.5560079801658041,25398.444533973932,0.0,False,False,False,True
