metric,control,control_n,treatment,treatment_n,ratio_T/C
nuc_mean,0.5153228778162224,95,0.799437847157931,62,1.5513338948693665
cell_mean,0.40852058420704657,95,0.6444089149128895,62,1.5774209178803338
cyto_mean,0.3266284567697016,95,0.5414680895776766,62,1.6577492816538444
cyto_integrated,16956.14058418572,95,31896.82776068824,62,1.8811372553986179
